model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M3_gbm_squared,forecast_only,1.280000,month,2011-06,0.730983,73194.000000,92920.000000,0.223482,1.269503,2734
M3_gbm_squared,forecast_only,1.280000,month,2011-07,0.765236,64472.000000,80395.000000,0.248793,1.246975,2693
M3_gbm_squared,forecast_only,1.280000,month,2011-08,0.775847,64618.000000,114895.000000,0.171565,1.778065,2722
M3_gbm_squared,forecast_only,1.280000,month,2011-09,0.670459,131440.000000,102151.000000,0.242196,0.777168,2787
M3_gbm_squared,forecast_only,1.280000,month,2011-10,0.736404,112462.000000,142694.000000,0.209443,1.268820,2817
M3_gbm_squared,forecast_only,1.280000,month,2011-11,0.733686,140696.000000,123491.000000,0.265850,0.877715,2776
M3_gbm_squared,forecast_only,1.280000,abc,A,0.770486,361195.000000,377271.000000,0.351708,1.044508,4771
M3_gbm_squared,forecast_only,1.280000,abc,B,0.638841,152204.000000,135405.000000,0.265078,0.889628,4825
M3_gbm_squared,forecast_only,1.280000,abc,C,0.620480,73483.000000,143870.000000,0.114525,1.957868,6933
M3_gbm_squared,forecast_only,1.645000,overall,all,0.731869,586882.000000,656546.000000,0.226934,1.118702,16529
M3_gbm_squared,forecast_only,1.645000,month,2011-06,0.730983,73194.000000,92920.000000,0.223482,1.269503,2734
M3_gbm_squared,forecast_only,1.645000,month,2011-07,0.765236,64472.000000,80395.000000,0.248793,1.246975,2693
M3_gbm_squared,forecast_only,1.645000,month,2011-08,0.775847,64618.000000,114895.000000,0.171565,1.778065,2722
M3_gbm_squared,forecast_only,1.645000,month,2011-09,0.670459,131440.000000,102151.000000,0.242196,0.777168,2787
M3_gbm_squared,forecast_only,1.645000,month,2011-10,0.736404,112462.000000,142694.000000,0.209443,1.268820,2817
M3_gbm_squared,forecast_only,1.645000,month,2011-11,0.733686,140696.000000,123491.000000,0.265850,0.877715,2776
M3_gbm_squared,forecast_only,1.645000,abc,A,0.770486,361195.000000,377271.000000,0.351708,1.044508,4771
M3_gbm_squared,forecast_only,1.645000,abc,B,0.638841,152204.000000,135405.000000,0.265078,0.889628,4825
M3_gbm_squared,forecast_only,1.645000,abc,C,0.620480,73483.000000,143870.000000,0.114525,1.957868,6933
M3_gbm_squared,forecast_only,2.050000,overall,all,0.731869,586882.000000,656546.000000,0.226934,1.118702,16529
